DISTRICT,Population
Thiruvananthapuram,3307284
Kollam,2629703
Alappuzha,2121943
Pathanamthitta,1195537
Kottayam,1979384
Idukki,1107453
Ernakulam,3279860
Thrissur,3110327
Palakkad,2810892
Kozhikode,3089543
Wayanad,816558
Malappuram,4110956
Kannur,2525637
Kasargod,1302600
